BR_CDE,CHECK_NO,SLS_DT,TX_SEQ,PAY_MTD_CDE,PAY_AMT,IS_MEMBER,LC_OCT_ID
A001,13960,2014/7/12,1,OC,21,Y,54950
A001,13959,2014/7/12,1,OC,32,Y,54950
A001,13959,2014/7/12,1,OC,32,Y,54950
A001,7233,2014/7/10,1,CA,100,Y,54950
A001,7233,2014/7/10,1,CA,100,Y,54950
A001,5626,2014/7/7,1,OC,25,Y,54950
A001,5626,2014/7/7,1,OC,25,Y,54950
A001,5624,2014/7/7,2,OC,38,Y,54950
A001,5624,2014/7/7,2,OC,38,Y,54950
A001,5624,2014/7/7,1,VH,10,Y,54950
A001,5624,2014/7/7,1,VH,10,Y,54950
A001,5617,2014/7/6,2,OC,36,Y,54950
A001,5617,2014/7/6,2,OC,36,Y,54950
A001,5617,2014/7/6,1,VH,3,Y,54950
A001,5617,2014/7/6,1,VH,3,Y,54950
A001,3337,2014/7/4,1,OC,31,Y,54950
A001,3337,2014/7/4,1,OC,31,Y,54950
A001,16975,2014/7/3,2,OC,21,Y,54950
A001,16975,2014/7/3,2,OC,21,Y,54950
A001,16975,2014/7/3,1,VH,10,Y,54950
A001,16975,2014/7/3,1,VH,10,Y,54950
A001,16353,2014/7/2,1,VH,5,Y,54950
A001,16353,2014/7/2,1,VH,5,Y,54950
A001,16353,2014/7/2,2,OC,26,Y,54950
A001,16353,2014/7/2,2,OC,26,Y,54950
A004,6808,2014/7/1,1,OC,22.5,Y,55004
A004,12627,2014/7/3,1,OC,33,Y,55004
A004,375,2014/7/3,1,OC,34,Y,55004
A001,18267,2014/7/18,1,OC,33,Y,55082
A001,18267,2014/7/18,1,OC,33,Y,55082
A003,16795,2014/7/10,1,OC,20,N,55102
A003,16795,2014/7/10,1,OC,20,N,55102
A003,16795,2014/7/10,1,OC,20,N,55102
A003,16795,2014/7/10,1,OC,20,N,55102
A003,12605,2014/7/22,1,OC,20,N,55102
A003,12605,2014/7/22,1,OC,20,N,55102
A003,3951,2014/7/22,1,OC,22.5,N,55102
A003,3951,2014/7/22,1,OC,22.5,N,55102
A003,14668,2014/7/24,1,OC,23,N,55102
A003,14668,2014/7/24,1,OC,23,N,55102
A002,4611,2014/7/20,1,OC,25,N,55114
A003,16088,2014/7/25,1,OC,20,Y,55218
A003,12230,2014/7/29,1,VH,3,Y,55218
A003,12230,2014/7/29,2,OC,33,Y,55218
A002,7203,2014/7/6,1,OC,20,Y,55218
A002,3816,2014/7/27,1,OC,20,Y,55218
A003,724,2014/7/19,1,OC,62.5,N,55226
A003,15513,2014/7/25,1,OC,23.5,N,55226
A003,13990,2014/7/23,1,OC,27,N,55226
A003,14200,2014/7/8,1,OC,30,N,55226
A002,8469,2014/7/31,1,CA,100,Y,55316
A002,8471,2014/7/31,1,VH,5,Y,55316
A002,8471,2014/7/31,2,OC,18,Y,55316
A002,8472,2014/7/31,1,OC,28,Y,55316
A002,8470,2014/7/31,1,VH,5,Y,55316
A002,8470,2014/7/31,2,OC,21,Y,55316
A003,11805,2014/7/21,1,VH,5,Y,55322
A003,11805,2014/7/21,2,OC,16,Y,55322
A003,11806,2014/7/21,1,OC,24,Y,55322
A003,3124,2014/7/21,1,OC,21,Y,55322
A004,11063,2014/7/1,1,OC,24,N,55440
A004,11063,2014/7/1,1,OC,24,N,55440
A004,12330,2014/7/3,1,OC,24,N,55440
A004,12330,2014/7/3,1,OC,24,N,55440
A004,388,2014/7/3,1,OC,33,N,55440
A004,388,2014/7/3,1,OC,33,N,55440
A004,5030,2014/7/7,1,OC,36.5,N,55440
A004,5030,2014/7/7,1,OC,36.5,N,55440
A004,6423,2014/7/8,1,OC,38,N,55440
A004,6423,2014/7/8,1,OC,38,N,55440
A004,6854,2014/7/9,1,OC,24,N,55440
A004,6854,2014/7/9,1,OC,24,N,55440
A004,17807,2014/7/11,1,OC,33,N,55440
A004,17807,2014/7/11,1,OC,33,N,55440
A004,10446,2014/7/12,1,OC,24,N,55440
A004,10446,2014/7/12,1,OC,24,N,55440
A004,14495,2014/7/16,1,OC,37.5,N,55440
A004,14495,2014/7/16,1,OC,37.5,N,55440
A004,5081,2014/7/17,1,OC,50,N,55440
A004,5081,2014/7/17,1,OC,50,N,55440
A004,14886,2014/7/16,1,OC,51,N,55440
A004,14886,2014/7/16,1,OC,51,N,55440
A004,2436,2014/7/5,1,OC,48,N,55440
A004,2436,2014/7/5,1,OC,48,N,55440
A004,13375,2014/7/15,1,OC,51,N,55440
A004,13375,2014/7/15,1,OC,51,N,55440
A004,5855,2014/7/18,1,OC,50,N,55440
A004,5855,2014/7/18,1,OC,50,N,55440
A004,936,2014/7/4,1,OC,24,N,55440
A004,936,2014/7/4,1,OC,24,N,55440
A002,14827,2014/7/19,1,OC,38,Y,55478
A002,13799,2014/7/10,1,OC,29.5,Y,55478
A002,5200,2014/7/28,2,OC,27,Y,55478
A002,5200,2014/7/28,1,VH,5,Y,55478
